id,price,neighbourhood_cleansed,neighbourhood_group_cleansed,review_scores_rating
609047070960661988,66.0,la Dreta de l'Eixample,Eixample,4.78
609239858286446531,82.0,el Camp d'en Grassot i Gràcia Nova,Gràcia,4.5
609243232644898085,183.0,Sants,Sants-Montjuïc,4.82
609250446729187937,230.0,Sant Antoni,Eixample,5.0
609317556986795832,165.0,la Dreta de l'Eixample,Eixample,5.0
615811294814687103,375.0,la Dreta de l'Eixample,Eixample,5.0
615813250667408743,285.0,la Dreta de l'Eixample,Eixample,4.71
615959410108699213,78.0,el Barri Gòtic,Ciutat Vella,4.86
617340565353319819,39.0,el Raval,Ciutat Vella,5.0
609360241791962367,108.0,Hostafrancs,Sants-Montjuïc,5.0
609870972313226881,90.0,Porta,Nou Barris,5.0
610600698444693228,121.0,la Dreta de l'Eixample,Eixample,4.85
610611783234510421,75.0,la Barceloneta,Ciutat Vella,5.0
610718781533908143,112.0,el Barri Gòtic,Ciutat Vella,4.78
617782097807907933,229.0,el Poble Sec,Sants-Montjuïc,4.85
617856136471682376,180.0,l'Antiga Esquerra de l'Eixample,Eixample,5.0
617911681496767667,99.0,el Raval,Ciutat Vella,5.0
617933317755572818,243.0,la Sagrada Família,Eixample,4.68
617938058269324379,311.0,la Sagrada Família,Eixample,4.48
617942964566744667,205.0,el Poble Sec,Sants-Montjuïc,4.09
610729666273958375,81.0,el Barri Gòtic,Ciutat Vella,4.67
610730723559312930,81.0,el Barri Gòtic,Ciutat Vella,4.64
611265544080253935,19.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.88
612243398033258133,202.0,la Dreta de l'Eixample,Eixample,4.94
612298250575147864,64.0,la Nova Esquerra de l'Eixample,Eixample,4.61
612300869059921019,50.0,la Vila de Gràcia,Gràcia,3.67
617943676177286708,48.0,la Barceloneta,Ciutat Vella,4.78
618603142814296630,49.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.71
618810235069029973,74.0,el Poble Sec,Sants-Montjuïc,5.0
619220273317313173,105.0,la Sagrada Família,Eixample,4.61
619221117496490646,111.0,el Raval,Ciutat Vella,4.71
619353041682327048,73.0,la Barceloneta,Ciutat Vella,4.81
619368688816247638,266.0,la Vila Olímpica del Poblenou,Sant Martí,4.88
612312631984786535,95.0,el Poblenou,Sant Martí,5.0
612315805329855745,80.0,la Guineueta,Nou Barris,4.71
612685187365252680,163.0,la Dreta de l'Eixample,Eixample,4.71
612744077713963174,96.0,la Dreta de l'Eixample,Eixample,4.0
612773261241707947,103.0,la Dreta de l'Eixample,Eixample,3.0
612852285075636149,136.0,la Dreta de l'Eixample,Eixample,5.0
612868627020257697,149.0,la Sagrada Família,Eixample,4.43
612868849985013103,165.0,el Fort Pienc,Eixample,4.75
612869275012681908,213.0,la Dreta de l'Eixample,Eixample,4.54
612869429073794762,209.0,la Dreta de l'Eixample,Eixample,4.55
619438695627475960,62.0,el Putxet i el Farró,Sarrià-Sant Gervasi,4.73
619461011254781522,50.0,la Bordeta,Sants-Montjuïc,5.0
619643901062492273,75.0,la Sagrada Família,Eixample,4.83
619876642449748989,339.0,el Barri Gòtic,Ciutat Vella,4.73
619942754220340478,618.0,el Raval,Ciutat Vella,5.0
620093671409681363,361.0,la Dreta de l'Eixample,Eixample,4.72
620095027066092309,181.0,la Sagrada Família,Eixample,4.6
620095461227530822,199.0,Sant Antoni,Eixample,4.58
613145619545540994,240.0,la Dreta de l'Eixample,Eixample,4.71
613392212317827360,72.0,Sant Antoni,Eixample,4.71
613437064983034690,17.0,el Raval,Ciutat Vella,5.0
613469026813250579,140.0,l'Antiga Esquerra de l'Eixample,Eixample,4.43
620100163373749416,83.0,el Parc i la Llacuna del Poblenou,Sant Martí,4.73
620124344325971258,344.0,la Dreta de l'Eixample,Eixample,4.6
620124627813343832,194.0,la Sagrada Família,Eixample,4.14
620124794453587612,157.0,el Fort Pienc,Eixample,4.6
613483731426168134,280.0,la Dreta de l'Eixample,Eixample,5.0
613566586439328007,253.0,la Dreta de l'Eixample,Eixample,5.0
614037380661464506,50.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.44
614192219450141466,148.0,el Camp d'en Grassot i Gràcia Nova,Gràcia,4.84
614232491138464884,78.0,el Barri Gòtic,Ciutat Vella,4.67
620124968007952502,235.0,l'Antiga Esquerra de l'Eixample,Eixample,4.61
620125191250354027,198.0,la Dreta de l'Eixample,Eixample,4.27
620148689741474182,86.0,el Raval,Ciutat Vella,4.61
620231613489273757,168.0,el Camp de l'Arpa del Clot,Sant Martí,4.68
620633877155596852,196.0,Sant Antoni,Eixample,4.59
620699701757362385,59.0,la Dreta de l'Eixample,Eixample,4.69
620719668286684052,75.0,el Poblenou,Sant Martí,4.71
623769424704094544,83.0,el Raval,Ciutat Vella,4.47
623857887945289378,85.0,Sant Antoni,Eixample,4.12
624455119233938406,99.0,el Parc i la Llacuna del Poblenou,Sant Martí,4.71
620835288540909675,210.0,el Fort Pienc,Eixample,4.32
622091179379166142,135.0,la Font de la Guatlla,Sants-Montjuïc,4.91
622831150297247309,78.0,el Raval,Ciutat Vella,4.36
622838444693676826,60.0,Can Baró,Horta-Guinardó,5.0
622872037196374992,342.0,el Poble Sec,Sants-Montjuïc,4.71
624457760841318217,140.0,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,4.0
624597786723152106,180.0,Sant Antoni,Eixample,5.0
625262449163269463,45.0,la Sagrada Família,Eixample,4.61
622902001580839249,95.0,el Camp d'en Grassot i Gràcia Nova,Gràcia,4.71
623653558972433630,120.0,el Poble Sec,Sants-Montjuïc,4.88
623667528829180751,143.0,el Parc i la Llacuna del Poblenou,Sant Martí,4.73
623681053697731367,153.0,el Guinardó,Horta-Guinardó,4.33
633838670887844068,191.0,Sant Antoni,Eixample,4.58
633845771112239944,183.0,Sant Antoni,Eixample,4.75
625770334310569987,71.0,el Raval,Ciutat Vella,4.83
625770933175576761,63.0,el Raval,Ciutat Vella,3.8
625807447717275579,108.0,la Vila de Gràcia,Gràcia,4.75
625827863792252875,303.0,la Dreta de l'Eixample,Eixample,5.0
625926874214362142,30.0,la Nova Esquerra de l'Eixample,Eixample,4.71
626485828979338493,151.0,el Guinardó,Horta-Guinardó,3.69
